,pid,firstName,lastName,season,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,pos,fuzz,skills,ovr,pot,age,tid,gp,gs,min,usgp,ortg,drtg,obpm,dbpm,ows,dws,vorp,ewa,salary
0,0,Evan,Mobley,2022,67,40,53,60,63,72,71,45,59,42,57,65,47,52,74,FC,-3.809619205327691,['R'],63,74,21,5,69,69,2331,20.4,109,107,-0.9,1.5,1.5,3.7,1.5,5.3,
1,0,Evan,Mobley,2023,67,55,57,65,63,72,69,45,74,35,54,65,47,52,72,FC,-3.809619205327691,"['Di', 'Po', 'R']",65,77,22,5,79,79,2715,20.2,117,108,0.0,1.6,3.7,4.8,2.5,9.3,
2,0,Evan,Mobley,2024,67,58,55,61,70,68,66,39,84,34,51,67,47,53,75,FC,-3.809619205327691,"['Po', 'R']",64,73,23,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000
3,1,Julius,Randle,2015,56,73,54,55,60,54,78,61,55,38,50,50,32,18,80,PF,1.0409938392394966,"['Di', 'R']",57,71,20,13,1,0,14,0,41,119,-9.6,-5.6,-0.1,0.0,0.0,-0.1,
4,1,Julius,Randle,2016,56,73,54,55,60,54,78,61,55,38,50,50,32,18,80,PF,1.0409938392394966,"['Di', 'R']",57,73,21,13,81,60,2286,21.2,97,108,-1.9,-1.3,-0.3,1.9,-0.7,2.8,
5,1,Julius,Randle,2017,56,75,60,69,60,64,78,61,40,34,45,60,35,40,86,PF,1.0409938392394966,"['A', 'Di', 'Po', 'R']",61,70,22,13,74,73,2132,21.4,107,112,-0.6,-0.3,2.0,1.5,0.6,5.1,
6,1,Julius,Randle,2018,56,75,60,69,60,64,78,61,40,34,45,60,35,40,86,PF,1.0409938392394966,"['A', 'Di', 'Po', 'R']",61,69,23,13,82,49,2190,25.3,112,107,0.6,0.0,4.0,2.6,1.4,9.2,
7,1,Julius,Randle,2019,57,79,56,66,59,86,84,61,40,30,45,66,40,55,86,PF,1.0409938392394966,"['A', 'Di', 'Po', 'R', 'V']",63,71,24,18,73,49,2232,27.8,113,112,2.1,-0.6,4.2,1.9,2.0,11.6,
8,1,Julius,Randle,2020,58,67,58,62,62,77,77,48,40,36,40,60,40,50,89,PF,1.0409938392394966,"['Po', 'R']",60,63,25,19,64,64,2080,27.6,105,112,0.7,-1.0,0.9,1.8,0.9,6.2,
9,1,Julius,Randle,2021,61,69,62,64,70,86,90,48,40,46,40,73,50,52,89,PF,1.0409938392394966,"['A', 'Po', 'R', 'V']",67,67,26,19,71,71,2667,29.3,111,107,3.0,0.7,3.4,4.3,3.8,10.9,
